id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
6894,Mohamed Elyounoussi,33,2212,1,3.069235897,1,1.825184103,36,18,4,0,F M S,Southampton,1,3.069235897,7.860458409,4.556406237
7007,Duje Caleta-Car,13,947,1,1.08825971,0,0.041676302,5,1,2,0,D S,Southampton,1,1.08825971,2.097120922,2.078667261
7078,Sean Longstaff,33,2509,1,4.526227672,4,3.451061753,33,23,2,0,M S,Newcastle United,1,4.526227672,12.26989366,6.193108233
7083,Christian Nørgaard,22,1794,1,1.347744394,3,3.110040994,19,12,6,0,M S,Brentford,1,1.347744394,5.920882419,5.308457598
7184,Tim Ream,33,2900,1,0.494400406,0,0.071798602,3,3,2,0,D,Fulham,1,0.494400406,6.860465005,6.813478999
7198,Oliver Skipp,23,1510,1,0.207908898,0,0.542324174,7,10,7,0,M S,Tottenham,1,0.207908898,5.209485713,4.576617915
7240,Benoit Badiashile Mukinayi,11,901,1,1.213535145,0,0.691355295,6,3,2,0,D S,Chelsea,1,1.213535145,3.306113355,3.162499391
7281,Diogo Dalot,26,2164,1,2.207693472,2,1.913712914,22,29,6,0,D S,Manchester United,1,2.207693472,11.69093291,8.903266048
7382,Dan Burn,38,3130,1,2.256657796,0,2.021169354,21,16,5,0,D S,Newcastle United,1,2.256657796,11.16918998,10.76464443
7546,Harvey Elliott,32,1602,1,2.027079836,2,3.97971409,36,26,2,0,F M S,Liverpool,1,2.027079836,14.91263744,10.78338428
7589,Wesley Fofana,17,1372,1,0.855233605,0,0.036636776,8,2,4,0,D S,"Chelsea,Leicester",1,0.855233605,4.46303729,4.026877722
7603,Marc Guehi,37,3330,1,1.662222028,0,0.657671804,14,10,8,0,D,Crystal Palace,1,1.662222028,4.737084905,4.268240003
7723,John McGinn,34,2692,1,1.947376701,3,3.408585306,42,18,7,0,M S,Aston Villa,1,1.947376701,10.67029746,6.900125403
8066,Arnaut Danjuma Groeneveld,9,151,1,0.623414677,0,0.0274659,6,1,0,0,M S,Tottenham,1,0.623414677,1.085426765,0.462012051
8067,Reece James,16,1242,1,1.014066595,1,3.066504817,16,21,4,0,D M S,Chelsea,1,1.014066595,5.841958794,4.731684634
8204,Neco Williams,31,1860,1,1.469770667,0,1.469511772,25,15,7,0,D M S,Nottingham Forest,1,1.469770667,4.353955544,2.08689364
8384,Armando Broja,12,266,1,0.857246485,0,0.0866744,6,1,0,0,F S,Chelsea,1,0.857246485,0.897835582,0
8582,Ellis Simms,11,200,1,1.045170881,0,0.0746167,8,2,0,0,F S,Everton,1,1.045170881,1.217762064,0.1475772
8646,Wout Faes,31,2790,1,1.100052266,2,0.571402263,13,9,4,1,D,Leicester,1,1.100052266,7.872640679,7.729764981
8780,Joël Veltman,31,2215,1,1.341551688,1,1.020035768,14,10,6,0,D S,Brighton,1,1.341551688,10.26339288,9.933882373
8816,Liam Cooper,18,1421,1,0.952019684,0,0.422468912,10,5,5,0,D S,Leeds,1,0.952019684,3.195654303,3.035635188
8970,Sékou Mara,22,510,1,1.040639891,2,1.068390192,16,6,1,0,F S,Southampton,1,1.040639891,1.989809717,0.379237215
9453,Moisés Caicedo,37,3135,1,1.235643424,1,2.643754145,27,43,10,0,D M S,Brighton,1,1.235643424,19.32380246,16.51605893
9493,Sam Greenwood,18,373,1,0.690720201,2,0.901320089,12,12,1,0,M S,Leeds,1,0.690720201,1.06520905,0.644886341
9662,Dango Ouattara,19,1254,1,3.287399874,3,2.415271653,26,18,1,0,M S,Bournemouth,1,3.287399874,6.022867783,2.48516468
9667,Amadou Onana,33,2529,1,3.084734773,2,2.063957967,34,22,9,0,M S,Everton,1,3.084734773,8.601867259,5.032614782
10004,Romeo Lavia,29,2261,1,0.263177807,0,0.517765691,12,16,9,0,M S,Southampton,1,0.263177807,5.658787712,5.163240816
10012,Jakub Kiwior,7,426,1,0.098437078,0,0.02737787,1,1,0,0,D S,Arsenal,1,0.098437078,2.272521904,2.245144
10293,Toti,17,973,1,0.235651975,0,0.184598222,5,4,6,0,D S,Wolverhampton Wanderers,1,0.235651975,0.912410532,0.809213375
10536,Tetê,13,756,1,1.856038233,0,0.386756305,15,6,0,0,F M S,Leicester,1,1.856038233,3.751141978,1.739479916
10723,Stefan Bajcetic,11,534,1,0.958798828,0,0.750690997,6,4,2,0,M S,Liverpool,1,0.958798828,3.478168949,2.334195299
10744,Ryan Christie,32,1857,1,2.728575312,1,2.068876935,33,29,2,0,F M S,Bournemouth,1,2.728575312,7.370874139,4.095148157
10751,Brenden Aaronson,36,2415,1,3.943553437,3,3.362793898,41,45,2,0,F M S,Leeds,1,3.943553437,11.29507808,5.162106516
10756,Joe Worrall,30,2210,1,0.912319118,0,0.567169152,7,4,6,0,D S,Nottingham Forest,1,0.912319118,4.254378524,3.960568633
10759,Lewis O&#039;Brien,13,572,1,0.423192313,0,0.179105103,7,4,2,0,M S,Nottingham Forest,1,0.423192313,2.543521017,2.019651636
10802,Lisandro Martínez,27,2123,1,0.525170602,0,0.229321871,10,6,6,0,D S,Manchester United,1,0.525170602,8.25210016,8.186085043
11000,Matheus Nunes,34,2507,1,2.38039585,1,2.028205116,28,27,2,0,M S,Wolverhampton Wanderers,1,2.38039585,6.001014823,2.806051275
11007,Fábio Vieira,22,468,1,0.737877531,2,2.23883182,15,12,0,0,M S,Arsenal,1,0.737877531,5.435086042,3.240540123
11357,Noni Madueke,12,662,1,0.980380196,0,0.513928035,12,12,0,0,F M S,Chelsea,1,0.980380196,3.67895221,2.432249852
11362,Facundo Buonanotte,13,553,1,1.088876139,1,0.584128704,11,6,2,0,M S,Brighton,1,1.088876139,2.536386257,1.551146792
11363,Antoine Semenyo,11,237,1,0.368431874,0,0.075990394,3,2,0,0,F M S,Bournemouth,1,0.368431874,1.22402028,0.779598616
11384,João Gomes,11,650,1,0.205277325,0,0.122548141,4,5,5,0,M S,Wolverhampton Wanderers,1,0.205277325,1.634860005,1.349490093
181,Bernd Leno,36,3240,0,0,0,0.030812699,0,1,3,0,GK,Fulham,0,0,2.495602584,2.464789582
229,Thiago Alcántara,18,1258,0,0.397275762,0,1.401967326,10,17,2,0,M S,Liverpool,0,0.397275762,8.877402268,7.261743916
458,Steve Cook,12,958,0,0.163848598,0,0.796192765,3,3,4,0,D S,Nottingham Forest,0,0.163848598,0.667590709,0.667590709
461,Matt Ritchie,7,25,0,0,0,0.081737697,0,1,0,0,S,Newcastle United,0,0,0.124439001,0.124439001
463,Junior Stanislas,4,52,0,0.026748899,0,0.084641203,1,2,0,0,S,Bournemouth,0,0.026748899,0.259927902,0.219472904
473,Danny Ward,26,2340,0,0,0,0,0,0,0,0,GK,Leicester,0,0,2.575987175,2.575987175
489,James Milner,31,841,0,0.387000587,1,1.621514073,7,14,2,0,D M S,Liverpool,0,0.387000587,5.001216296,3.942965845
496,Mohamed Elneny,5,107,0,0,0,0,0,0,0,0,M S,Arsenal,0,0,0.666119993,0.666119993
508,Calum Chambers,14,318,0,0.099313492,0,0.377897568,2,2,2,0,D S,Aston Villa,0,0.099313492,0.925580116,0.518437341
509,Wayne Hennessey,4,271,0,0,0,0,0,0,0,0,GK S,Nottingham Forest,0,0,0.068341002,0.068341002
528,Angelo Ogbonna,16,1235,0,0.209211696,0,0.489394939,3,3,0,0,D S,West Ham,0,0.209211696,1.70100718,1.125916334
534,Aaron Cresswell,28,2231,0,0.419035964,1,3.173854368,9,40,3,0,D S,West Ham,0,0.419035964,6.406579467,5.813743422
546,David de Gea,38,3420,0,0,0,0.0185502,0,1,0,0,GK,Manchester United,0,0,6.570318282,6.551768273
558,Jesse Lingard,17,937,0,0.697761908,0,0.431223089,10,11,1,0,F M S,Nottingham Forest,0,0.697761908,2.068452105,1.295302905
561,Joe Rothwell,20,1028,0,0.148828603,1,1.198236078,3,8,1,0,M S,Bournemouth,0,0.148828603,2.398142223,2.127564509
584,Joel Robles,4,360,0,0,0,0,0,0,1,0,GK,Leeds,0,0,0.048608834,0.048608834
603,Nathaniel Clyne,22,1644,0,0,0,0.702158296,0,7,3,0,D S,Crystal Palace,0,0,2.412299196,2.209689693
605,Jordan Henderson,35,2084,0,0.859453102,2,3.592609709,23,31,2,0,M S,Liverpool,0,0.859453102,13.00366401,10.28102646
633,James McArthur,4,42,0,0,0,0,0,0,0,0,S,Crystal Palace,0,0,0.061272621,0.061272621
635,Alex McCarthy,6,540,0,0,0,0,0,0,0,0,GK,Southampton,0,0,0.102236757,0.102236757
637,Hugo Lloris,25,2208,0,0,0,0,0,0,0,0,GK,Tottenham,0,0,4.23726253,4.23726253
638,Kyle Walker,27,1957,0,0.325330697,0,0.208945628,5,6,3,0,D M S,Manchester City,0,0.325330697,12.9828498,12.79400228
645,Dele Alli,2,26,0,0,0,0,0,0,0,0,S,Everton,0,0,0,0
661,Josh Onomah,2,11,0,0,0,0,0,0,0,0,S,Fulham,0,0,0,0
668,Idrissa Gueye,33,2638,0,0.503446775,1,0.935957971,15,12,7,0,M S,Everton,0,0.503446775,7.161216028,5.986805499
681,César Azpilicueta,25,1511,0,0.326824609,0,1.437446944,9,13,3,0,D M S,Chelsea,0,0.326824609,6.943540018,6.189002115
688,Ruben Loftus-Cheek,25,1550,0,0.856397295,1,1.75591589,9,15,1,0,D M S,Chelsea,0,0.856397295,6.833013787,4.327356297
694,Asmir Begovic,1,90,0,0,0,0,0,0,0,0,GK,Everton,0,0,0,0
706,Lukasz Fabianski,36,3115,0,0,0,0,0,0,1,0,GK,West Ham,0,0,1.141081356,1.141081356
713,André Ayew,13,286,0,0.988400508,0,0.033196706,4,1,1,0,F S,Nottingham Forest,0,0.227231491,1.174430199,0.914002001
741,Jordan Pickford,37,3330,0,0,1,0.312641799,0,2,5,0,GK,Everton,0,0,2.147359919,2.079159122
751,N&#039;Golo Kanté,7,526,0,0.308291532,1,2.079334814,8,13,1,0,M S,Chelsea,0,0.308291532,4.500326216,2.987267897
759,Daniel Amartey,20,1615,0,1.054015912,0,0.465026382,6,5,1,0,D S,Leicester,0,1.054015912,3.991525309,3.818652436
766,Jamaal Lascelles,7,200,0,0.120240394,0,0,2,0,2,0,D S,Newcastle United,0,0.120240394,0.383470997,0.383470997
767,Jack Colback,11,480,0,0,0,0.282247804,0,2,0,0,M S,Nottingham Forest,0,0,0.576424006,0.318104003
769,Jonjo Shelvey,11,565,0,0.160453997,0,0.349151991,6,6,1,0,M S,"Newcastle United,Nottingham Forest",0,0.160453997,0.970116509,0.832867606
770,Ayoze Pérez,8,373,0,0.842235819,1,1.50424761,8,11,0,0,M S,Leicester,0,0.842235819,2.612799704,0.440800499
790,Nathan Redmond,1,1,0,0,0,0,0,0,0,0,S,Southampton,0,0,0,0
807,Jonny Evans,13,1057,0,0.084321901,0,0.092742197,1,1,1,0,D S,Leicester,0,0.084321901,3.380402641,3.287660645
813,Salomón Rondón,7,96,0,0.764765907,0,0.126521803,4,2,0,0,F S,Everton,0,0.764765907,0.944155905,0.0528681
825,Adam Smith,37,2957,0,0.976804212,1,1.408493325,5,16,11,0,D M S,Bournemouth,0,0.976804212,4.097098259,3.026082985
831,Fraser Forster,14,1212,0,0,0,0,0,0,1,0,GK S,Tottenham,0,0,1.616346346,1.616346346
842,Oriol Romeu,1,77,0,0,0,0,0,0,0,0,M,Southampton,0,0,0,0
847,Cédric Soares,8,213,0,0.055564027,0,0.131602783,2,2,0,0,D S,"Arsenal,Fulham",0,0.055564027,0.424477056,0.365856253
884,Matt Targett,17,575,0,0.025259299,0,0.39763589,1,10,1,0,D S,Newcastle United,0,0.025259299,1.648980828,1.529323239
978,Sam Johnstone,9,810,0,0,0,0,0,0,1,0,GK,Crystal Palace,0,0,0.266890638,0.266890638
983,Kevin Mbabu,6,138,0,0,1,0.559538007,0,2,1,0,D S,Fulham,0,0,0.665716927,0.106178399
985,Mason Holgate,8,505,0,0.928406268,0,0.323729163,4,6,1,1,D S,Everton,0,0.928406268,1.322381327,1.058614522
987,Joseph Gomez,21,1443,0,0.120236212,0,0.042714901,7,1,3,0,D S,Liverpool,0,0.120236212,6.305879517,6.208896
1042,Tom Davies,19,500,0,1.312985771,0,0.133675199,9,2,3,0,M S,Everton,0,1.312985771,1.913279263,0.603860291
1078,Sergi Canos,5,55,0,0.059907999,0,0.017623,1,1,0,0,S,Brentford,0,0.059907999,0.077530999,0
1257,Alisson,37,3330,0,0,1,0.168625996,0,1,1,0,GK,Liverpool,0,0,9.289638354,9.121012343
1297,Neto,27,2390,0,0,0,0,0,0,4,0,GK,Bournemouth,0,0,1.721566327,1.721566327
1299,Mario Lemina,19,1325,0,0.206482454,1,0.157049302,9,3,2,1,M S,Wolverhampton Wanderers,0,0.206482454,1.870737588,1.601245256
1488,Remo Freuler,28,2178,0,0.338698497,0,0.486701801,8,12,5,0,M S,Nottingham Forest,0,0.338698497,4.259000529,3.825942754
1537,Sasa Lukic,12,401,0,0.106689876,0,0,5,0,1,0,M S,Fulham,0,0.106689876,0.806800149,0.76972428
1545,Emil Krafth,1,1,0,0,0,0,0,0,0,0,S,Newcastle United,0,0,0,0
1677,Nathaniel Chalobah,4,10,0,0.085534699,0,0,1,0,0,1,M S,Fulham,0,0.085534699,0,0
1683,Ryan Fraser,8,309,0,0.309316508,0,0.355423294,6,5,1,0,F S,Newcastle United,0,0.309316508,0.546710297,0.195435498
1687,Harry Maguire,16,750,0,0.148830831,0,0.381232198,3,2,4,0,D S,Manchester United,0,0.148830831,3.684811689,3.684811689
1688,Andrew Robertson,34,2609,0,1.089925196,8,6.820856744,13,52,3,0,D S,Liverpool,0,1.089925196,13.14507241,10.34350526
1711,Adam Forshaw,12,470,0,0.01066363,0,0.442567231,1,8,0,0,M S,Leeds,0,0.01066363,0.459179092,0.448515464
1719,Javier Manquillo,4,25,0,0,0,0,0,0,0,0,S,Newcastle United,0,0,0.119776003,0.119776003
1735,Jack Stephens,17,1215,0,0.2225914,0,0.258811709,2,3,3,0,D S,"Bournemouth,Southampton",0,0.2225914,1.863424856,1.67488835
1750,Ainsley Maitland-Niles,22,1395,0,0.0137403,0,0.483312434,1,10,3,0,D M S,Southampton,0,0.0137403,3.216860962,3.123183621
1789,Lewis Cook,28,1694,0,0.183636962,2,2.300027156,6,23,4,0,M S,Bournemouth,0,0.183636962,4.647211663,3.693267986
2163,Diego Llorente,8,646,0,0.301153801,0,0,6,0,1,0,D S,Leeds,0,0.301153801,0.905353803,0.905353803
2190,Vicente Guaita,27,2430,0,0,0,0,0,0,1,0,GK,Crystal Palace,0,0,1.4098752,1.4098752
2243,Keylor Navas,17,1530,0,0,0,0,0,0,2,0,GK,Nottingham Forest,0,0,1.177565038,1.177565038
2245,Raphael Varane,24,1918,0,0.911432646,0,0.1431177,8,4,1,0,D S,Manchester United,0,0.911432646,6.672149234,6.561579235
2310,Alphonse Areola,5,305,0,0,0,0,0,0,0,0,GK S,West Ham,0,0,0.164571693,0.164571693
2498,Aymeric Laporte,12,993,0,0.752423742,0,0.212882986,10,6,0,0,D S,Manchester City,0,0.752423742,3.62400713,3.52560626
2674,Thilo Kehrer,27,2228,0,0.654550209,2,0.711917122,8,8,4,0,D S,West Ham,0,0.654550209,4.627194926,4.006118912
3278,Maxwel Cornet,14,216,0,1.092479458,0,0.094204597,9,1,0,0,M S,West Ham,0,1.092479458,1.477419948,0.290735502
3288,Thiago Silva,27,2352,0,1.443799338,2,0.573215377,15,5,2,0,D S,Chelsea,0,1.443799338,6.407340776,5.882735943
3298,Layvin Kurzawa,3,138,0,0,0,0,0,0,1,0,D S,Fulham,0,0,0,0
3420,Fabinho,36,2691,0,0.653306727,2,2.687867143,18,17,11,0,M S,Liverpool,0,0.653306727,15.34653142,13.40923301
3422,João Moutinho,31,1778,0,0.937950813,2,2.346919507,16,36,3,0,M S,Wolverhampton Wanderers,0,0.937950813,4.733368763,3.646705651
3696,Morgan Sanson,2,2,0,0,0,0,0,0,0,0,S,Aston Villa,0,0,0,0
4105,Raúl Jiménez,15,842,0,2.711337736,1,1.505079582,20,9,0,0,F S,Wolverhampton Wanderers,0,2.711337736,4.212750431,1.013507498
4120,Álex Moreno,19,1346,0,0.621964589,3,2.476166584,13,21,3,0,D S,Aston Villa,0,0.621964589,6.160197624,4.475142128
4381,Mateusz Klich,14,224,0,0.173007797,0,0.288655199,4,5,2,0,S,Leeds,0,0.173007797,1.239492984,0.928547788
